strategy,rank,global_max_forward_us,local_forward_us,first_transport_offset_us,last_transport_offset_us,local_transport_window_us,dispatch_hook_path_us,combine_hook_path_us,dispatch_transport_us,return_transport_us,submit_us,wait_us,op_build_us,raw_u_build_us,control_overhead_us,expert_compute_us_label_from_runner,unattributed_us,preflight_collective_count
routersense_b_core_independent_async,0,244968.1854248047,244968.1854248047,0.0,88529.296,88529.296,80671.38500000001,27586.178999999996,5188.471,2624.661,1955.018,218.158,1253.603,8960.089,,136710.62142480467,227394.66142480468,18
routersense_b_core_independent_async,1,244968.1854248047,241552.734375,262.628,88652.621,88389.993,94195.807,28596.963000000003,5494.957,2702.3320000000003,2065.8680000000004,235.017,1307.9509999999998,16721.486999999997,,118759.964375,219069.5974248047,18
routersense_b_core_independent_async,2,244968.1854248047,242870.30029296875,110.45,88563.947,88453.497,83997.535,27810.323,5271.968,2686.602,2049.14,228.16799999999995,1288.272,10416.132000000001,,131062.44229296874,225721.71042480468,18
routersense_b_core_independent_async,3,244968.1854248047,242349.38049316406,119.181,88784.016,88664.835,91564.49800000002,28014.832000000002,5362.985000000001,2675.34,2076.522,235.67799999999997,1267.5759999999998,12615.354999999998,,122770.05049316405,223374.57242480468,18
routersense_u_core_zero_raw_async,0,234289.5050048828,234263.64135742188,0.0,84161.267,84161.267,67921.02299999999,20705.596000000005,3718.987,1898.4879999999998,1452.4869999999996,157.10700000000003,887.458,5839.6,,145637.02235742187,222220.9520048828,18
routersense_u_core_zero_raw_async,1,234289.5050048828,234211.65466308594,183.466,90678.371,90494.905,79956.446,29136.817000000003,5228.471,2642.91,2001.465,229.07399999999998,1236.773,7940.174999999999,,125118.39166308593,217673.9700048828,18
routersense_u_core_zero_raw_async,2,234289.5050048828,234289.5050048828,0.744,84078.557,84077.813,67972.538,20642.833,3726.527,1922.282,1466.9499999999998,160.33800000000002,889.7800000000002,5833.743999999999,,145674.13400488283,222187.71000488283,18
routersense_u_core_zero_raw_async,3,234289.5050048828,233457.62634277344,588.835,91478.66,90889.825,88390.19000000003,29586.392999999993,5579.932,2750.456,2105.185,236.428,1358.45,11250.335999999996,,115481.04334277341,213737.26200488282,18
