strategy,rank,forward_epoch,layer,phase,payload_role,op_build_us,batch_submit_us,wait_us,submit_queue_us,submit_span_us,request_wait_us,active_transport_sum_us,active_transport_critical_path_us,first_request_submitted_ns,last_request_submitted_ns,all_requests_completed_ns,send_op_count,recv_op_count,batch_isend_irecv_call_count,release_batch_count,preflight_collective_count,task_count,send_task_count,recv_task_count,wave_count,rows,wire_bytes,min_task_rows,median_task_rows,max_task_rows,min_task_bytes,median_task_bytes,max_task_bytes,zero_byte_task_count,single_row_task_count,small_task_count
routersense_b_core_independent_async,3,1,0,P0,hidden_states,221.588,381.948,42.572,86.182,1018.942,6.217,424.52,1025.159,38525763472936288,38525763473955230,38525763473961447,3,3,6,12,9,18,6,6,3,4744,19431424,59,324.0,487,241664,1327104.0,1994752,0,0,0
routersense_b_core_independent_async,3,1,0,P0,routing_probs,198.96399999999997,303.971,38.120999999999995,64.091,891.463,5.897,342.092,897.36,38525763474999205,38525763475890668,38525763475896565,3,3,6,12,0,18,6,6,3,4744,18976,59,324.0,487,236,1296.0,1948,0,0,18
routersense_b_core_independent_async,3,1,0,P1,hidden_states,222.43200000000002,395.23,41.635999999999996,131.663,963.999,6.09,436.866,970.089,38525763493398501,38525763494362500,38525763494368590,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_b_core_independent_async,3,1,1,P0,hidden_states,219.088,351.68800000000005,38.977000000000004,127.048,929.334,5.47,390.6650000000001,934.804,38525763540868312,38525763541797646,38525763541803116,3,3,6,12,9,18,6,6,3,4698,19243008,148,301.0,331,606208,1232896.0,1355776,0,0,0
routersense_b_core_independent_async,3,1,1,P0,routing_probs,189.35999999999999,273.16700000000003,33.905,103.629,786.826,5.308,307.072,792.134,38525763542808908,38525763543595734,38525763543601042,3,3,6,12,0,18,6,6,3,4698,18792,148,301.0,331,592,1204.0,1324,0,0,18
routersense_b_core_independent_async,3,1,1,P1,hidden_states,216.14400000000003,370.51800000000003,40.46699999999999,121.785,934.983,5.558,410.985,940.541,38525763560660582,38525763561595565,38525763561601123,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,0,1,0,P0,hidden_states,155.39999999999998,259.753,27.162999999999997,0.0,656.936,3.407,286.916,660.343,38525798450976349,38525798451633285,38525798451636692,3,3,6,12,9,18,6,6,3,4404,18038784,59,154.0,487,241664,630784.0,1994752,0,0,0
routersense_u_core_zero_raw_async,0,1,0,P0,routing_probs,129.19599999999997,196.83,23.441,0.0,543.545,3.733,220.27100000000002,547.278,38525798452316461,38525798452860006,38525798452863739,3,3,6,12,0,18,6,6,3,4404,17616,59,154.0,487,236,616.0,1948,0,0,18
routersense_u_core_zero_raw_async,0,1,0,P1,hidden_states,153.366,274.074,27.182000000000006,0.0,601.062,3.518,301.25600000000003,604.58,38525798465301528,38525798465902590,38525798465906108,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,0,1,1,P0,hidden_states,157.473,263.541,29.103,0.0,685.184,3.929,292.644,689.113,38525798519532456,38525798520217640,38525798520221569,3,3,6,12,9,18,6,6,3,4584,18776064,148,244.0,331,606208,999424.0,1355776,0,0,0
routersense_u_core_zero_raw_async,0,1,1,P0,routing_probs,134.57100000000003,190.995,22.485,0.0,548.86,3.848,213.48000000000002,552.708,38525798520932159,38525798521481019,38525798521484867,3,3,6,12,0,18,6,6,3,4584,18336,148,244.0,331,592,976.0,1324,0,0,18
routersense_u_core_zero_raw_async,0,1,1,P1,hidden_states,157.45200000000003,267.2939999999999,27.733,0.0,636.015,4.143,295.02699999999993,640.158,38525798534497458,38525798535133473,38525798535137616,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,1,1,0,P0,hidden_states,218.051,354.081,40.514,79.306,932.937,5.881,394.595,938.818,38525798451159815,38525798452092752,38525798452098633,3,3,6,12,9,18,6,6,3,5070,20766720,59,324.0,487,241664,1327104.0,1994752,0,0,0
routersense_u_core_zero_raw_async,1,1,0,P0,routing_probs,188.02599999999998,283.679,34.362,58.255,793.323,5.927,318.041,799.25,38525798453190434,38525798453983757,38525798453989684,3,3,6,12,0,18,6,6,3,5070,20280,59,324.0,487,236,1296.0,1948,0,0,18
routersense_u_core_zero_raw_async,1,1,0,P1,hidden_states,206.85,382.746,41.1,305.29,747.706,5.458,423.846,753.164,38525798471604996,38525798472352702,38525798472358160,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,1,1,1,P0,hidden_states,224.01799999999997,349.06399999999996,40.13499999999999,0.0,1051.397,5.616,389.19899999999996,1057.013,38525798519830373,38525798520881770,38525798520887386,3,3,6,12,9,18,6,6,3,4758,19488768,148,301.0,331,606208,1232896.0,1355776,0,0,0
routersense_u_core_zero_raw_async,1,1,1,P0,routing_probs,184.785,265.63599999999997,32.786,0.0,868.772,5.457,298.42199999999997,874.229,38525798521809605,38525798522678377,38525798522683834,3,3,6,12,0,18,6,6,3,4758,19032,148,301.0,331,592,1204.0,1324,0,0,18
routersense_u_core_zero_raw_async,1,1,1,P1,hidden_states,215.043,366.25899999999996,40.177,312.736,733.38,5.458,406.436,738.838,38525798540915882,38525798541649262,38525798541654720,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,2,1,0,P0,hidden_states,148.27999999999997,259.938,27.014,0.0,718.073,3.481,286.952,721.554,38525798450977093,38525798451695166,38525798451698647,3,3,6,12,9,18,6,6,3,4214,17260544,59,154.0,487,241664,630784.0,1994752,0,0,0
routersense_u_core_zero_raw_async,2,1,0,P0,routing_probs,124.965,187.815,23.894999999999996,0.0,593.662,4.041,211.70999999999998,597.703,38525798452278352,38525798452872014,38525798452876055,3,3,6,12,0,18,6,6,3,4214,16856,59,154.0,487,236,616.0,1948,0,0,18
routersense_u_core_zero_raw_async,2,1,0,P1,hidden_states,154.50300000000001,277.51099999999997,28.486,0.0,746.238,3.896,305.99699999999996,750.134,38525798465720341,38525798466466579,38525798466470475,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,2,1,1,P0,hidden_states,158.93,267.699,27.939,95.741,638.212,4.518,295.63800000000003,642.73,38525798519613786,38525798520251998,38525798520256516,3,3,6,12,9,18,6,6,3,4392,17989632,148,244.0,331,606208,999424.0,1355776,0,0,0
routersense_u_core_zero_raw_async,2,1,1,P0,routing_probs,143.23800000000003,202.696,24.709,78.354,542.807,3.849,227.405,546.656,38525798520981574,38525798521524381,38525798521528230,3,3,6,12,0,18,6,6,3,4392,17568,148,244.0,331,592,976.0,1324,0,0,18
routersense_u_core_zero_raw_async,2,1,1,P1,hidden_states,159.864,271.291,28.295,0.0,681.925,3.84,299.586,685.765,38525798534369141,38525798535051066,38525798535054906,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,3,1,0,P0,hidden_states,261.93399999999997,416.73699999999997,47.162000000000006,95.328,1150.822,7.458,463.899,1158.28,38525798451565184,38525798452716006,38525798452723464,3,3,6,12,9,18,6,6,3,4744,19431424,59,324.0,487,241664,1327104.0,1994752,0,0,0
routersense_u_core_zero_raw_async,3,1,0,P0,routing_probs,212.79200000000003,328.31100000000004,40.159000000000006,67.698,938.963,6.398,368.47,945.361,38525798453790276,38525798454729239,38525798454735637,3,3,6,12,0,18,6,6,3,4744,18976,59,324.0,487,236,1296.0,1948,0,0,18
routersense_u_core_zero_raw_async,3,1,0,P1,hidden_states,222.205,371.944,39.26499999999999,125.147,886.804,5.494,411.209,892.298,38525798472237543,38525798473124347,38525798473129841,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
routersense_u_core_zero_raw_async,3,1,1,P0,hidden_states,217.239,350.72100000000006,38.523999999999994,79.785,973.194,5.706,389.24500000000006,978.9,38525798519914228,38525798520887422,38525798520893128,3,3,6,12,9,18,6,6,3,4698,19243008,148,301.0,331,606208,1232896.0,1355776,0,0,0
routersense_u_core_zero_raw_async,3,1,1,P0,routing_probs,190.826,262.13,30.819999999999997,61.984,819.924,4.907,292.95,824.831,38525798521854000,38525798522673924,38525798522678831,3,3,6,12,0,18,6,6,3,4698,18792,148,301.0,331,592,1204.0,1324,0,0,18
routersense_u_core_zero_raw_async,3,1,1,P1,hidden_states,253.454,375.3419999999999,40.49799999999999,127.163,1011.579,6.414,415.8399999999999,1017.993,38525798541437016,38525798542448595,38525798542455009,3,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
